,home_team_id,away_team_id,home_result,away_result,result,extra_time,penalties,replay,date,round,city,id_stadium,edition
138,Uruguay,Sweden,3,2,home_team,False,False,False,1950-07-13,Group Stage,Sao Paulo,,1950
139,Sweden,Spain,3,1,home_team,False,False,False,1950-07-16,Third Place,Sao Paulo,,1950
140,Uruguay,Brazil,2,1,home_team,False,False,False,1950-07-16,Final,Rio de Janeiro,,1950
141,Sweden,Ireland,3,1,home_team,False,False,False,,Preliminary,Stockholm,,1950
142,Switzerland,Luxembourg,5,2,home_team,False,False,False,,Preliminary,Zürich,,1950
143,Yugoslavia,Israel,6,0,home_team,False,False,False,,Preliminary,Beograd,,1950
144,USA,Mexico,0,6,away_team,False,False,False,,Preliminary,México DF,,1950
145,Ireland,Finland,3,0,home_team,False,False,False,,Preliminary,Dublin,,1950
146,Mexico,Cuba,2,0,home_team,False,False,False,,Preliminary,México DF,,1950
147,Cuba,USA,1,1,draw,False,False,False,,Preliminary,México DF,,1950
148,Israel,Yugoslavia,2,5,away_team,False,False,False,,Preliminary,Tel Aviv,,1950
149,Luxembourg,Switzerland,2,3,away_team,False,False,False,,Preliminary,Luxembourg,,1950
150,Mexico,USA,6,2,home_team,False,False,False,,Preliminary,México DF,,1950
151,USA,Cuba,5,2,home_team,False,False,False,,Preliminary,México DF,,1950
152,Cuba,Mexico,0,3,away_team,False,False,False,,Preliminary,México DF,,1950
153,Northern Ireland,Scotland,2,8,away_team,False,False,False,,Preliminary,Belfast,,1950
154,Sweden,Finland,8,1,home_team,False,False,False,,Preliminary,Malmö,,1950
155,Yugoslavia,France,1,1,draw,False,False,False,,Preliminary,Beograd,,1950
156,Finland,Ireland,1,1,draw,False,False,False,,Preliminary,Helsinki,,1950
157,Wales,England,1,4,away_team,False,False,False,,Preliminary,Cardiff,,1950
158,France,Yugoslavia,1,1,draw,False,False,False,,Preliminary,Paris,,1950
159,Scotland,Wales,2,0,home_team,False,False,False,,Preliminary,Glasgow,,1950
160,Ireland,Sweden,1,3,away_team,False,False,False,,Preliminary,Dublin,,1950
161,England,Northern Ireland,9,2,home_team,False,False,False,,Preliminary,Manchester,,1950
162,Turkey,Syria,7,0,home_team,False,False,False,,Preliminary,Ankara,,1950
163,Yugoslavia,France,3,2,home_team,False,False,False,,Preliminary,Firenze,,1950
164,Bolivia,Chile,2,0,home_team,False,False,False,,Preliminary,La Paz,,1950
165,Wales,Northern Ireland,0,0,draw,False,False,False,,Preliminary,Wrexham,,1950
