id_match,home_team,away_team,home_score,away_score,date,round,city,edition
107,Sweden,Mexico,3,0,1958-06-08,Group Stage,Stockholm,1958
108,Hungary,Wales,1,1,1958-06-08,Group Stage,Sandviken,1958
109,England,Soviet Union,2,2,1958-06-08,Group Stage,Gothenburg,1958
110,Brazil,Austria,3,0,1958-06-08,Group Stage,Uddevalla,1958
111,France,Yugoslavia,2,3,1958-06-11,Group Stage,Vasteras,1958
112,West Germany,Czechoslovakia,2,2,1958-06-11,Group Stage,Helsingborg,1958
113,Paraguay,Scotland,3,2,1958-06-11,Group Stage,Norrkoping,1958
114,Argentina,Northern Ireland,3,1,1958-06-11,Group Stage,Halmstad,1958
115,Brazil,England,0,0,1958-06-11,Group Stage,Gothenburg,1958
116,Soviet Union,Austria,2,0,1958-06-11,Group Stage,Boras,1958
117,Sweden,Hungary,2,1,1958-06-12,Group Stage,Stockholm,1958
118,Wales,Mexico,1,1,1958-06-11,Group Stage,Stockholm,1958
119,West Germany,Northern Ireland,2,2,1958-06-15,Group Stage,Malmo,1958
120,Czechoslovakia,Argentina,6,1,1958-06-15,Group Stage,Helsingborg,1958
121,Yugoslavia,Paraguay,3,3,1958-06-15,Group Stage,Eskilstuna,1958
122,France,Scotland,2,1,1958-06-15,Group Stage,Orebro,1958
123,Sweden,Wales,0,0,1958-06-15,Group Stage,Stockholm,1958
124,Hungary,Mexico,4,0,1958-06-15,Group Stage,Sandviken,1958
125,Brazil,Soviet Union,2,0,1958-06-15,Group Stage,Gothenburg,1958
126,England,Austria,2,2,1958-06-15,Group Stage,Boras,1958
127,Northern Ireland,Czechoslovakia,2,1,1958-06-17,Group Stage,Malmo,1958
128,Wales,Hungary,2,1,1958-06-17,Group Stage,Stockholm,1958
129,Soviet Union,England,1,0,1958-06-17,Group Stage,Gothenburg,1958
130,Sweden,Soviet Union,2,0,1958-06-19,Quarter-finals,Stockholm,1958
131,West Germany,Yugoslavia,1,0,1958-06-19,Quarter-finals,Malmo,1958
132,France,Northern Ireland,4,0,1958-06-19,Quarter-finals,Norrkoping,1958
133,Brazil,Wales,1,0,1958-06-19,Quarter-finals,Gothenburg,1958
134,Sweden,West Germany,3,1,1958-06-24,Semi-finals,Gothenburg,1958
135,Brazil,France,5,2,1958-06-24,Semi-finals,Stockholm,1958
136,France,West Germany,6,3,1958-06-28,Third Place,Gothenburg,1958
137,Brazil,Sweden,5,2,1958-06-29,Final,Stockholm,1958
138,Uruguay,Colombia,2,1,1962-05-30,Group Stage,Arica,1962
139,Soviet Union,Yugoslavia,2,0,1962-05-31,Group Stage,Arica,1962
140,Argentina,Bulgaria,1,0,1962-05-30,Group Stage,Rancagua,1962
141,Hungary,England,2,1,1962-05-31,Group Stage,Rancagua,1962
142,Chile,Switzerland,3,1,1962-05-30,Group Stage,Santiago,1962
143,West Germany,Italy,0,0,1962-05-31,Group Stage,Santiago,1962
144,Brazil,Mexico,2,0,1962-05-30,Group Stage,Vina del Mar,1962
145,Czechoslovakia,Spain,1,0,1962-05-31,Group Stage,Vina del Mar,1962
146,Colombia,Soviet Union,4,4,1962-06-03,Group Stage,Arica,1962
147,Uruguay,Yugoslavia,3,1,1962-06-02,Group Stage,Arica,1962
148,Hungary,Bulgaria,6,1,1962-06-03,Group Stage,Rancagua,1962
149,England,Argentina,3,1,1962-06-02,Group Stage,Rancagua,1962
150,Chile,Italy,2,0,1962-06-02,Group Stage,Santiago,1962
151,West Germany,Switzerland,2,1,1962-06-03,Group Stage,Santiago,1962
152,Brazil,Czechoslovakia,0,0,1962-06-02,Group Stage,Vina del Mar,1962
153,Spain,Mexico,1,0,1962-06-03,Group Stage,Vina del Mar,1962
154,Soviet Union,Uruguay,2,1,1962-06-06,Group Stage,Arica,1962
155,Yugoslavia,Colombia,5,0,1962-06-07,Group Stage,Arica,1962
156,Argentina,Hungary,0,0,1962-06-06,Group Stage,Rancagua,1962
157,England,Bulgaria,0,0,1962-06-07,Group Stage,Rancagua,1962
158,West Germany,Chile,2,0,1962-06-06,Group Stage,Santiago,1962
159,Italy,Switzerland,3,0,1962-06-07,Group Stage,Santiago,1962
160,Brazil,Spain,2,1,1962-06-06,Group Stage,Vina del Mar,1962
161,Czechoslovakia,Mexico,1,3,1962-06-07,Group Stage,Vina del Mar,1962
162,Yugoslavia,West Germany,0,1,1962-06-10,Quarter-finals,Santiago,1962
163,Chile,Soviet Union,2,1,1962-06-10,Quarter-finals,Arica,1962
164,Brazil,England,3,1,1962-06-10,Quarter-finals,Vina del Mar,1962
165,Czechoslovakia,Hungary,1,0,1962-06-10,Quarter-finals,Rancagua,1962
166,Brazil,Chile,4,2,1962-06-13,Semi-finals,Santiago,1962
167,Czechoslovakia,Yugoslavia,3,1,1962-06-13,Semi-finals,Vina del Mar,1962
168,Chile,Yugoslavia,1,0,1962-06-16,Third Place,Santiago,1962
169,Brazil,Czechoslovakia,3,1,1962-06-17,Final,Santiago,1962
170,England,Uruguay,0,0,1966-07-11,Group Stage,London,1966
171,France,Mexico,1,1,1966-07-13,Group Stage,London,1966
172,Brazil,Bulgaria,2,0,1966-07-12,Group Stage,Liverpool,1966
173,Portugal,Hungary,3,1,1966-07-13,Group Stage,Manchester,1966
